strategy,sl,tp,min_liquidity_m,max_positions,threshold,dynamic_sizing,return_pct,win_rate,max_drawdown,sharpe,total_trades,score
T1_top5,0,0,0.0,5,0.0,False,1362.84,67.17,-8.43,13.11,396,2039.2017391304346
T1_blended_top5,2,4,0.0,5,0.6,True,2342.57,71.19,-13.03,11.2,118,2037.0173913043482
T1_top5,3,6,0.0,5,0.0,False,843.65,59.09,-4.95,13.12,396,2002.0736134453782
T1_top5,3,6,0.0,5,0.55,False,843.65,59.09,-4.95,13.12,396,2002.0736134453782
T1_blended_top5,0,0,0.0,5,0.0,False,1359.9,67.83,-8.43,12.84,401,1995.8659597030755
T1_blended_top5,3,6,0.0,5,0.6,True,2492.37,72.88,-14.46,11.11,118,1952.3027619663646
T1_top5,5,10,0.0,3,0.55,False,1353.63,65.09,-8.22,11.79,232,1877.7578850325378
T1_top5,5,10,0.0,3,0.0,False,1353.63,65.09,-8.22,11.79,232,1877.7578850325378
T1_blended_top5,2,4,0.0,3,0.58,False,1271.88,62.23,-8.15,12.43,233,1866.8140327868853
T1_top5,5,10,0.0,3,0.6,False,1336.47,65.22,-8.23,11.73,230,1843.2571072589383
T1_top5,5,10,0.0,3,0.58,False,1336.47,65.22,-8.23,11.73,230,1843.2571072589383
T3_top5,5,10,0.0,5,0.6,False,851.21,65.76,-5.93,13.95,184,1836.3044011544014
T1_top5,3,6,0.0,5,0.58,False,842.71,59.64,-5.61,13.11,389,1798.8862481089257
T1_blended_top5,3,6,0.0,3,0.0,False,1331.77,62.87,-9.13,12.38,237,1759.0407305034548
T1_blended_top5,3,6,0.0,3,0.55,False,1331.77,62.87,-9.13,12.38,237,1759.0407305034548
T1_blended_top5,2,4,0.0,3,0.6,False,1129.31,63.73,-7.2,11.72,204,1751.8077073170732
T1_top5,3,6,0.0,5,0.6,False,820.86,59.43,-5.61,12.97,387,1734.8584266263238
T1_blended_top5,5,10,0.0,5,0.55,True,2918.67,73.33,-18.55,10.61,120,1733.2868900255753
T1_blended_top5,5,10,0.0,5,0.0,True,2918.67,73.33,-18.55,10.61,120,1733.2868900255753
T3_top5,5,10,0.0,3,0.0,False,1294.0,65.04,-8.8,12.11,123,1731.055102040816
T1_top5,3,6,0.0,1,0.6,False,2802.69,75.0,-17.86,10.53,72,1713.4154665959702
T1_top5,3,6,0.0,1,0.58,True,2802.69,75.0,-17.86,10.53,72,1713.4154665959702
T1_top5,3,6,0.0,1,0.6,True,2802.69,75.0,-17.86,10.53,72,1713.4154665959702
T1_top5,3,6,0.0,1,0.58,False,2802.69,75.0,-17.86,10.53,72,1713.4154665959702
